Name,Points,Time,CorrectMinValue,CorrectIndex,Timestamp
Reference,1000,0.0000011600,1,1,2025-11-07 03:13:43
Reference,10000,0.0000109300,1,1,2025-11-07 03:13:43
Reference,100000,0.0001081910,1,1,2025-11-07 03:13:43
Reference,1000000,0.0010885280,1,1,2025-11-07 03:13:43
Reference,10000000,0.0108994090,1,1,2025-11-07 03:13:43
Reference,100000000,0.1091443620,1,1,2025-11-07 03:13:43
Reference,1000000000,1.0913728510,1,1,2025-11-07 03:13:43
Reference,1000,0.0000011600,1,1,2025-11-07 03:14:06
Reference,10000,0.0000109400,1,1,2025-11-07 03:14:06
Reference,100000,0.0001082300,1,1,2025-11-07 03:14:06
Reference,1000000,0.0010869770,1,1,2025-11-07 03:14:06
Reference,10000000,0.0108900380,1,1,2025-11-07 03:14:06
Reference,100000000,0.1089511610,1,1,2025-11-07 03:14:06
Reference,1000000000,1.0916106530,1,1,2025-11-07 03:14:06
Reference,1000,0.0000011500,1,1,2025-11-07 03:14:28
Reference,10000,0.0000109300,1,1,2025-11-07 03:14:28
Reference,100000,0.0001082010,1,1,2025-11-07 03:14:28
Reference,1000000,0.0010886180,1,1,2025-11-07 03:14:28
Reference,10000000,0.0109123190,1,1,2025-11-07 03:14:28
Reference,100000000,0.1090919920,1,1,2025-11-07 03:14:28
Reference,1000000000,1.0911879200,1,1,2025-11-07 03:14:28
Reference,1000,0.0000011500,1,1,2025-11-07 03:14:51
Reference,10000,0.0000109400,1,1,2025-11-07 03:14:51
Reference,100000,0.0001082310,1,1,2025-11-07 03:14:51
Reference,1000000,0.0010869880,1,1,2025-11-07 03:14:51
Reference,10000000,0.0108934780,1,1,2025-11-07 03:14:51
Reference,100000000,0.1089027300,1,1,2025-11-07 03:14:51
Reference,1000000000,1.0910518880,1,1,2025-11-07 03:14:51
Reference,1000,0.0000011600,1,1,2025-11-07 03:15:14
Reference,10000,0.0000109400,1,1,2025-11-07 03:15:14
Reference,100000,0.0001209800,1,1,2025-11-07 03:15:14
Reference,1000000,0.0010938180,1,1,2025-11-07 03:15:14
Reference,10000000,0.0108770880,1,1,2025-11-07 03:15:14
Reference,100000000,0.1091284530,1,1,2025-11-07 03:15:14
Reference,1000000000,1.0910048180,1,1,2025-11-07 03:15:14
Reference,1000,0.0000011500,1,1,2025-11-07 03:15:36
Reference,10000,0.0000109100,1,1,2025-11-07 03:15:36
Reference,100000,0.0001081910,1,1,2025-11-07 03:15:36
