Name,Points,Time,CorrectResult,Timestamp
Reference,1000,0.0000016200,1,2025-11-07 03:14:00
Reference,10000,0.0000357310,1,2025-11-07 03:14:00
Reference,100000,0.0003636930,1,2025-11-07 03:14:00
Reference,1000000,0.0026816490,1,2025-11-07 03:14:00
Reference,10000000,0.0224190310,1,2025-11-07 03:14:00
Reference,100000000,0.2176538300,1,2025-11-07 03:14:00
Reference,1000000000,2.2074368290,1,2025-11-07 03:14:00
Reference,1000,0.0000016300,1,2025-11-07 03:14:23
Reference,10000,0.0000303500,1,2025-11-07 03:14:23
Reference,100000,0.0003198920,1,2025-11-07 03:14:23
Reference,1000000,0.0026760690,1,2025-11-07 03:14:23
Reference,10000000,0.0221460690,1,2025-11-07 03:14:23
Reference,100000000,0.2154445440,1,2025-11-07 03:14:23
Reference,1000000000,2.1553477860,1,2025-11-07 03:14:23
Reference,1000,0.0000016300,1,2025-11-07 03:14:46
Reference,10000,0.0000421400,1,2025-11-07 03:14:46
Reference,100000,0.0003359120,1,2025-11-07 03:14:46
Reference,1000000,0.0034697240,1,2025-11-07 03:14:46
Reference,10000000,0.0225295610,1,2025-11-07 03:14:46
Reference,100000000,0.2178223210,1,2025-11-07 03:14:46
Reference,1000000000,2.1799114120,1,2025-11-07 03:14:46
Reference,1000,0.0000016300,1,2025-11-07 03:15:08
Reference,10000,0.0000430200,1,2025-11-07 03:15:08
Reference,100000,0.0003317820,1,2025-11-07 03:15:08
Reference,1000000,0.0027318100,1,2025-11-07 03:15:08
Reference,10000000,0.0222394200,1,2025-11-07 03:15:08
Reference,100000000,0.2156482550,1,2025-11-07 03:15:08
Reference,1000000000,2.1615107900,1,2025-11-07 03:15:08
Reference,1000,0.0000016300,1,2025-11-07 03:15:31
Reference,10000,0.0000319800,1,2025-11-07 03:15:31
Reference,100000,0.0003239130,1,2025-11-07 03:15:31
Reference,1000000,0.0033533540,1,2025-11-07 03:15:31
Reference,10000000,0.0222579890,1,2025-11-07 03:15:31
Reference,100000000,0.2160079380,1,2025-11-07 03:15:31
Reference,1000000000,2.2053751350,1,2025-11-07 03:15:31
Reference,1000,0.0000016400,1,2025-11-07 03:15:53
Reference,10000,0.0000328310,1,2025-11-07 03:15:53
Reference,100000,0.0003232620,1,2025-11-07 03:15:53
Reference,1000000,0.0026453290,1,2025-11-07 03:15:53
Reference,10000000,0.0225773120,1,2025-11-07 03:15:53
Reference,100000000,0.2157660160,1,2025-11-07 03:15:53
Reference,1000000000,2.1610661470,1,2025-11-07 03:15:53
Reference,1000,0.0000016200,1,2025-11-07 03:16:16
Reference,10000,0.0000325410,1,2025-11-07 03:16:16
Reference,100000,0.0003465530,1,2025-11-07 03:16:16
Reference,1000000,0.0029026510,1,2025-11-07 03:16:16
Reference,10000000,0.0226876920,1,2025-11-07 03:16:16
Reference,100000000,0.2182855440,1,2025-11-07 03:16:16
Reference,1000000000,2.1825805110,1,2025-11-07 03:16:16
Reference,1000,0.0000016300,1,2025-11-07 03:16:39
Reference,10000,0.0000319610,1,2025-11-07 03:16:39
Reference,100000,0.0003284420,1,2025-11-07 03:16:39
Reference,1000000,0.0026417000,1,2025-11-07 03:16:39
Reference,10000000,0.0222075490,1,2025-11-07 03:16:39
Reference,100000000,0.2159490780,1,2025-11-07 03:16:39
Reference,1000000000,2.1548390830,1,2025-11-07 03:16:39
Reference,1000,0.0000016200,1,2025-11-07 03:17:02
Reference,10000,0.0000305400,1,2025-11-07 03:17:02
Reference,100000,0.0003232530,1,2025-11-07 03:17:02
Reference,1000000,0.0027643700,1,2025-11-07 03:17:02
Reference,10000000,0.0225218420,1,2025-11-07 03:17:02
Reference,100000000,0.2182560640,1,2025-11-07 03:17:02
Reference,1000000000,2.1861313770,1,2025-11-07 03:17:02
Reference,1000,0.0000016300,1,2025-11-07 03:17:24
Reference,10000,0.0000416700,1,2025-11-07 03:17:24
Reference,100000,0.0003317720,1,2025-11-07 03:17:24
Reference,1000000,0.0027136200,1,2025-11-07 03:17:24
Reference,10000000,0.0224697010,1,2025-11-07 03:17:24
Reference,100000000,0.2175434490,1,2025-11-07 03:17:24
Reference,1000000000,2.1791930570,1,2025-11-07 03:17:24
ROCm (simple),1000,0.0000195800,1,2025-11-07 07:09:08
ROCm (simple),10000,0.0000189300,1,2025-11-07 07:09:08
ROCm (simple),100000,0.000032,1,2025-11-02 15:38:38
ROCm (simple),1000000,0.0000840010,1,2025-11-07 07:09:08
ROCm (simple),10000000,0.0002268520,1,2025-11-07 07:09:08
ROCm (simple),100000000,0.0005818940,1,2025-11-07 07:09:08
ROCm (simple),1000000000,0.0037095280,1,2025-11-07 07:09:08
ROCm (rocBLAS),1000,0.0057122150,1,2025-11-07 07:09:08
ROCm (rocBLAS),10000,0.0057925850,1,2025-11-07 07:09:08
ROCm (rocBLAS),100000,0.004885,1,2025-11-02 15:43:31
ROCm (rocBLAS),1000000,0.0055705730,1,2025-11-07 07:09:08
ROCm (rocBLAS),10000000,0.0057162340,1,2025-11-07 07:09:08
ROCm (rocBLAS),100000000,0.0055677930,1,2025-11-07 07:09:08
ROCm (rocBLAS),1000000000,0.0086110470,1,2025-11-07 07:09:08
ROCm (simple),1000,0.0000190000,1,2025-11-07 07:11:22
ROCm (simple),10000,0.0000192100,1,2025-11-07 07:11:22
ROCm (simple),100000,0.000033,1,2025-11-02 15:43:31
ROCm (simple),1000000,0.0000943810,1,2025-11-07 07:11:22
ROCm (simple),10000000,0.0002751520,1,2025-11-07 07:11:22
ROCm (simple),100000000,0.0006034450,1,2025-11-07 07:11:22
ROCm (simple),1000000000,0.0036487870,1,2025-11-07 07:11:22
ROCm (rocBLAS),1000,0.0053490300,1,2025-11-07 07:11:22
ROCm (rocBLAS),10000,0.0056041220,1,2025-11-07 07:11:22
ROCm (rocBLAS),100000,0.005333,1,2025-11-02 15:48:24
ROCm (rocBLAS),1000000,0.0055028910,1,2025-11-07 07:11:22
