Name,Points,Time,CorrectMinValue,CorrectIndex,Timestamp
Reference,1000,0.000001,1,1,2025-11-03 01:23:49
Reference,10000,0.000014,1,1,2025-11-03 01:23:49
Reference,100000,0.000135,1,1,2025-11-03 01:23:49
Reference,1000000,0.001370,1,1,2025-11-03 01:23:49
Reference,10000000,0.013621,1,1,2025-11-03 01:23:49
Reference,100000000,0.135910,1,1,2025-11-03 01:23:49
Reference,1000000000,1.359777,1,1,2025-11-03 01:23:49
Reference,1000,0.000001,1,1,2025-11-03 01:26:54
Reference,10000,0.000014,1,1,2025-11-03 01:26:54
Reference,100000,0.000135,1,1,2025-11-03 01:26:54
Reference,1000000,0.001366,1,1,2025-11-03 01:26:54
Reference,10000000,0.013582,1,1,2025-11-03 01:26:54
Reference,100000000,0.135924,1,1,2025-11-03 01:26:54
Reference,1000000000,1.360400,1,1,2025-11-03 01:26:54
Reference,1000,0.000001,1,1,2025-11-03 01:29:58
Reference,10000,0.000014,1,1,2025-11-03 01:29:58
Reference,100000,0.000136,1,1,2025-11-03 01:29:58
Reference,1000000,0.001370,1,1,2025-11-03 01:29:58
Reference,10000000,0.013607,1,1,2025-11-03 01:29:58
Reference,100000000,0.136054,1,1,2025-11-03 01:29:58
Reference,1000000000,1.361014,1,1,2025-11-03 01:29:58
Reference,1000,0.000001,1,1,2025-11-03 01:33:02
Reference,10000,0.000014,1,1,2025-11-03 01:33:02
Reference,100000,0.000135,1,1,2025-11-03 01:33:02
Reference,1000000,0.001361,1,1,2025-11-03 01:33:02
Reference,10000000,0.013589,1,1,2025-11-03 01:33:02
Reference,100000000,0.135866,1,1,2025-11-03 01:33:02
Reference,1000000000,1.360289,1,1,2025-11-03 01:33:02
Reference,1000,0.000001,1,1,2025-11-03 01:36:06
Reference,10000,0.000014,1,1,2025-11-03 01:36:06
Reference,100000,0.000135,1,1,2025-11-03 01:36:06
Reference,1000000,0.001359,1,1,2025-11-03 01:36:06
Reference,10000000,0.013602,1,1,2025-11-03 01:36:06
Reference,100000000,0.135932,1,1,2025-11-03 01:36:06
Reference,1000000000,1.360934,1,1,2025-11-03 01:36:06
Reference,1000,0.000001,1,1,2025-11-03 01:39:10
Reference,10000,0.000014,1,1,2025-11-03 01:39:10
Reference,100000,0.000135,1,1,2025-11-03 01:39:10
Reference,1000000,0.001360,1,1,2025-11-03 01:39:10
Reference,10000000,0.013600,1,1,2025-11-03 01:39:10
Reference,100000000,0.135885,1,1,2025-11-03 01:39:10
Reference,1000000000,1.360562,1,1,2025-11-03 01:39:10
Reference,1000,0.000001,1,1,2025-11-03 01:42:14
Reference,10000,0.000014,1,1,2025-11-03 01:42:14
Reference,100000,0.000135,1,1,2025-11-03 01:42:14
Reference,1000000,0.001358,1,1,2025-11-03 01:42:14
Reference,10000000,0.013597,1,1,2025-11-03 01:42:14
Reference,100000000,0.135924,1,1,2025-11-03 01:42:14
Reference,1000000000,1.361332,1,1,2025-11-03 01:42:14
Reference,1000,0.000001,1,1,2025-11-03 01:45:18
Reference,10000,0.000014,1,1,2025-11-03 01:45:18
Reference,100000,0.000135,1,1,2025-11-03 01:45:18
Reference,1000000,0.001363,1,1,2025-11-03 01:45:18
Reference,10000000,0.013587,1,1,2025-11-03 01:45:18
Reference,100000000,0.135959,1,1,2025-11-03 01:45:18
Reference,1000000000,1.360976,1,1,2025-11-03 01:45:18
Reference,1000,0.000001,1,1,2025-11-03 01:48:23
Reference,10000,0.000014,1,1,2025-11-03 01:48:23
Reference,100000,0.000135,1,1,2025-11-03 01:48:23
Reference,1000000,0.001360,1,1,2025-11-03 01:48:23
Reference,10000000,0.013611,1,1,2025-11-03 01:48:23
Reference,100000000,0.135960,1,1,2025-11-03 01:48:23
Reference,1000000000,1.360766,1,1,2025-11-03 01:48:23
Reference,1000,0.000001,1,1,2025-11-03 01:51:26
Reference,10000,0.000014,1,1,2025-11-03 01:51:26
Reference,100000,0.000135,1,1,2025-11-03 01:51:26
Reference,1000000,0.001358,1,1,2025-11-03 01:51:26
Reference,10000000,0.013596,1,1,2025-11-03 01:51:26
Reference,100000000,0.136097,1,1,2025-11-03 01:51:26
Reference,1000000000,1.360555,1,1,2025-11-03 01:51:26
ROCm (simple),1000,0.000016,1,1,2025-11-03 01:57:17
ROCm (simple),10000,0.000013,1,1,2025-11-03 01:57:17
ROCm (simple),100000,0.000018,1,1,2025-11-03 01:57:17
ROCm (simple),1000000,0.000041,1,1,2025-11-03 01:57:17
ROCm (simple),10000000,0.000151,1,1,2025-11-03 01:57:17
ROCm (simple),100000000,0.001371,1,1,2025-11-03 01:57:17
ROCm (simple),1000000000,0.013616,1,1,2025-11-03 01:57:17
ROCm (rocPRIM),1000,0.000024,1,1,2025-11-03 01:57:17
ROCm (rocPRIM),10000,0.000026,1,1,2025-11-03 01:57:17
ROCm (rocPRIM),100000,0.000048,1,1,2025-11-03 01:57:17
ROCm (rocPRIM),1000000,0.000045,1,1,2025-11-03 01:57:17
ROCm (rocPRIM),10000000,0.000175,1,1,2025-11-03 01:57:17
ROCm (rocPRIM),100000000,0.001399,1,1,2025-11-03 01:57:17
ROCm (rocPRIM),1000000000,0.014512,1,1,2025-11-03 01:57:17
ROCm (simple),1000,0.000018,1,1,2025-11-03 02:00:44
ROCm (simple),10000,0.000018,1,1,2025-11-03 02:00:44
ROCm (simple),100000,0.000020,1,1,2025-11-03 02:00:44
ROCm (simple),1000000,0.000043,1,1,2025-11-03 02:00:44
ROCm (simple),10000000,0.000125,1,1,2025-11-03 02:00:44
ROCm (simple),100000000,0.001377,1,1,2025-11-03 02:00:44
ROCm (simple),1000000000,0.013616,1,1,2025-11-03 02:00:44
ROCm (rocPRIM),1000,0.000031,1,1,2025-11-03 02:00:44
ROCm (rocPRIM),10000,0.000028,1,1,2025-11-03 02:00:44
ROCm (rocPRIM),100000,0.000050,1,1,2025-11-03 02:00:44
ROCm (rocPRIM),1000000,0.000047,1,1,2025-11-03 02:00:44
ROCm (rocPRIM),10000000,0.000181,1,1,2025-11-03 02:00:44
ROCm (rocPRIM),100000000,0.001400,1,1,2025-11-03 02:00:44
ROCm (rocPRIM),1000000000,0.014550,1,1,2025-11-03 02:00:44
ROCm (simple),1000,0.000012,1,1,2025-11-03 02:04:09
ROCm (simple),10000,0.000013,1,1,2025-11-03 02:04:09
ROCm (simple),100000,0.000018,1,1,2025-11-03 02:04:09
ROCm (simple),1000000,0.000041,1,1,2025-11-03 02:04:09
ROCm (simple),10000000,0.000127,1,1,2025-11-03 02:04:09
ROCm (simple),100000000,0.001371,1,1,2025-11-03 02:04:09
ROCm (simple),1000000000,0.013618,1,1,2025-11-03 02:04:09
ROCm (rocPRIM),1000,0.000025,1,1,2025-11-03 02:04:09
ROCm (rocPRIM),10000,0.000027,1,1,2025-11-03 02:04:09
ROCm (rocPRIM),100000,0.000057,1,1,2025-11-03 02:04:09
ROCm (rocPRIM),1000000,0.000076,1,1,2025-11-03 02:04:09
ROCm (rocPRIM),10000000,0.000177,1,1,2025-11-03 02:04:09
ROCm (rocPRIM),100000000,0.001398,1,1,2025-11-03 02:04:09
ROCm (rocPRIM),1000000000,0.014496,1,1,2025-11-03 02:04:09
ROCm (simple),1000,0.000011,1,1,2025-11-03 02:07:36
ROCm (simple),10000,0.000013,1,1,2025-11-03 02:07:36
